843434192367637_1490718074305909,"הוא לא גידל אותם, אלא אכל דורבן. 
לא כתוב מה עלה בגורלו אח״כ.
(ברזיל)",http://bit.ly/2noiZVC,"אכל עקיצה: מה גרם לנחש לגדל קוצים?

http://bit.ly/2noiZVC"
843434192367637_1490698360974547,"אפריל: שיקגו, קופנהגן, 
מאי: לונדון, פורט לודרדייל (פלורידה)
יוני: בייג'ינג
יולי: בוסטון, סידני
אוגוסט: ניו יורק, ברלין
ספטמבר: אורלנדו, רומא
אוקטובר: ניו אורלינס, קייפטאון
נובמבר: סן פרנסיסקו, ריו
דצמבר: לאס וגאס, פרקנפורט
ינואר: לוס אנג'לס, מלבורן
פברואר: הונלולו, הונג קונג
מרץ: בואנוס איירס",http://www.calcalist.co.il/local/articles/0,7340,L-3710537,00.html?utm_source=Facebook&utm_medium=Social&utm_campaign=calcal,"    "
843434192367637_1490695960974787,"שגרירת ארצות הברית באו"ם הבהירה כי "ארצות הברית מעדיפה כעת לגרום לשינויים להתרחש. וכן להתמקד בגורמים שעלינו לעבוד איתם כדי להביא שינוי אמיתי לתושבי סוריה". השגרירה הוסיפה: "אנחנו לא צריכים בהכרח להתמקד באסד, כפי שעשה הממשל הקודם".",http://bit.ly/2nQ0TPi,"ארה"ב החליטה על קו חדש מול אסד http://bit.ly/2nQ0TPi"
843434192367637_1489557141088669,"שדה תעופה על שמו במאדרה, פורטוגל.",http://bit.ly/2nLusBt,"כריסטיאנו רונאלדו זכה למחווה חסרת תקדים: "זה לא דבר נפוץ לאדם שנמצא בחיים"

http://bit.ly/2nLusBt

(צילום: AP)"
843434192367637_1489512784426438,"בדיקת דם יחודית שמזהה את הסרטן בשלב מאוד מוקדם.
המפתחים מעריכים שתוך שנתיים תהיה בשוק.",http://bit.ly/2nutMyf,"לראשונה בעולם: פיתוח ישראלי שיציל מיליונים מהתפשטות סרטן ריאות בגופם
http://bit.ly/2nutMyf"
843434192367637_1488528357858214,"הוא לא עשה שום ניתוח, לא שילם כסף בשביל להיראות כמו בקהאם ובכלל לא רצה להיראות כמוהו, רק רצה אהבה.",http://tola.co.il/2017/03/28/fake-beckham/,"הצעיר שהסעיר את העולם שהודיע שיעבור ניתוחים פלסטים כדי להראות כמו בקהאם - חושף את האמת 
http://tola.co.il/2017/03/28/fake-beckham/"
843434192367637_1488364217874628,"בדו"ח מפורט שחיבר למפקדיו טען אייכמן שמצבו הכלכלי של היישוב העברי איום ונורא, ולא נראה שהוא עומד להשתפר בקרוב, זאת בעקבות אופיים הערמומי וההרסני של היהודים, הנאלצים לרמות אחד את השני בהיעדר ארים לרמותם.
 
החשש הגדול ביותר שלו היה שגירוש היהודים מגרמניה יתרום בעתיד להקמת ישות יהודית חזקה שתסתמך על הרכוש הרב שיביאו איתם המגורשים לארץ ישראל. אייכמן פחד כי ברבות השנים אותה מדינה יהודית תהווה איום לגרמניה הנאצית.",http://web.nli.org.il/sites/NLI/Hebrew/library/reading_corner/Pages/eichmann_secret_visit.aspx,"..."
843434192367637_1488183991225984,"מליון שקל (כנראה יחד) לשלושה קמפיינים.",http://www.calcalist.co.il/marketing/articles/0,7340,L-3710418,00.html?utm_source=Facebook&utm_medium=Social&utm_campaign=calcal,"ולחשוב שפעם לסטטיק - העמוד הרשמי ובן-אל תבורי העמוד הרשמי לא היה הרבה בוויזה"
843434192367637_1488178764559840,"לא כתוב למה.
למען האמת, אולי אנחנו דורשים יותר מדי מNRG. אנחנו יודעים שהם עיתונות פח, ואולי הם באמת שאלו למה, כי הם לא יודעים.",http://bit.ly/2nnr5OO,"למה רזי ברקאי הדיח את שותפתו לתוכנית הרדיו? 

http://bit.ly/2nnr5OO

(צילום: קוקו ואריק סולטן)"
843434192367637_1487424657968584,"בעיקרון הוט עושים נטפליקס. 49 ש״ח לחבילת תוכן ישראלית ותמורת עוד 20 ש״ח תקבלו גם סדרות זרות.",http://www.calcalist.co.il/internet/articles/0,7340,L-3710365,00.html?utm_source=Facebook&utm_medium=Social&utm_campaign=calcal,"מוטב מאוחר מאשר אף פעם לא? הוט תקשורת HOT מנסה להתאים את עצמה לעידן החדש"
